bms

strong OFF
id,tc1,tc2,tp1,Reciprocity,tp2,#out_edges,#in_edges
10,0.114,0.234,0.057,0.750,0.151,3,4
11,0.000,0.000,0.000,0.000,0.000,1,2
12,0.070,0.199,0.073,0.667,0.265,7,8
13,0.012,0.038,0.034,0.250,0.040,8,2
14,0.083,0.167,0.094,0.500,0.372,3,3
15,0.000,0.000,0.000,1.000,0.000,1,1
16,0.085,0.137,0.068,0.800,0.161,4,5
17,0.079,0.243,0.105,0.667,0.270,3,2
18,1.000,1.000,1.000,1.000,1.000,0,0
19,0.010,0.286,0.050,0.000,0.141,7,1
20,0.000,0.000,0.000,1.000,0.000,1,1
21,0.000,0.000,0.000,0.500,0.000,1,2
22,0.067,0.189,0.047,0.571,0.224,4,7
23,0.000,0.000,0.000,0.667,0.000,2,3
24,0.148,0.550,0.148,1.000,0.532,4,4
25,0.059,0.132,0.093,0.500,0.119,6,3
26,0.091,0.175,0.135,0.400,0.345,3,4
27,0.043,0.113,0.029,0.750,0.089,3,4
28,0.014,0.100,0.025,0.500,0.158,2,1
29,0.000,0.000,0.000,1.000,0.000,1,1
30,0.000,0.000,0.000,1.000,0.000,1,1
31,0.000,0.000,0.000,1.000,0.000,1,1
32,1.000,0.000,1.000,0.000,1.000,0,1
33,0.043,0.122,0.019,0.500,0.104,2,4
34,0.036,0.104,0.033,0.333,0.051,5,3
35,0.027,0.125,0.023,1.000,0.100,2,2
36,0.078,0.324,0.076,0.800,0.285,5,4
37,0.014,0.100,0.051,0.400,0.220,5,2
38,0.080,0.135,0.029,0.556,0.109,5,9
39,0.125,0.150,0.167,0.500,0.217,3,3
40,0.074,0.086,0.071,0.167,0.159,3,4
41,1.000,1.000,1.000,1.000,1.000,0,0
42,0.000,0.000,0.000,1.000,0.000,1,1
43,0.125,0.250,0.200,0.333,0.178,3,1
44,0.000,0.000,0.000,0.333,0.000,3,1
45,0.106,0.146,0.053,0.500,0.189,3,6
46,1.000,0.667,1.000,0.000,1.000,0,3
47,0.045,0.135,0.041,1.000,0.168,4,4
48,0.080,0.139,0.079,0.333,0.270,5,7
49,0.039,0.118,0.036,0.833,0.112,5,6
50,0.027,0.095,0.027,1.000,0.089,3,3
51,0.060,0.139,0.047,0.714,0.152,5,7
52,0.000,0.000,0.000,0.500,0.000,1,2
53,0.000,1.000,0.000,0.000,0.000,2,0
54,0.147,0.262,0.118,1.000,0.264,7,7
55,0.083,0.125,0.000,0.500,0.000,1,2
56,0.098,0.265,0.104,0.750,0.343,4,3
57,0.000,1.000,0.056,0.000,0.208,2,0
58,1.000,0.200,1.000,0.000,1.000,0,5
59,0.036,0.103,0.027,0.500,0.078,6,6
60,0.152,0.235,0.111,0.833,0.283,5,6
61,0.158,0.140,0.000,0.200,0.000,1,5
